Product	Title	Industry	What do you like best?	What do you dislike?	What problems are solved?
6sense			"Data deduplication, data appending, lead routing, intent data, technographic data Data cleansing, Automation, Intent Data, notifications, Web analytics, technographic data, firmographic data, data appending, etc! definitely use ZenIQ it is awesome you will not regret the purchase."	"speed, if there was one thing I would say it is speed of platform could be better."	
6sense		Computer Software	Leads prioritization to the best known accuracy. It helps drive the marketing initiatives of our team The customer empathy that the 6Sense team shows towards their client is amazing. Highly recommend the product	Nothing in particular as a dislike. The team works harder and gives their best.	
6sense		Computer Software	"6sense allows me to easily identify companies in my territory and makes it easier for me to reach out to their key decision makers. I love that when I am prospecting, I can pull up a 6sense list that has already been generated for me. This gives me all the basic information I need to start my prospecting, saving me a ton of time in the researching stage. I have been able to qualify and source many leads for my sales team using this tool- and this has led to pipeline creation for us."	"I wish there was more information in the leads as to why they may be a good target- changes in leadership, funding, ect."	
6sense		Computer Software	Helping to generate leads and find good prospects. Lead generation abilities. Although the quality of the lead would very greatly it was still beneficial to recieve leads. take the time to understand how to use it from the beginning.	bad information and lack of actual leads.	
6sense		Computer Software	I was trying to find trigger events in order to find more business. The ides makes a lot of sense I just found that most of the leads were fruitless.	The leads were usually pretty average...	
6sense		Computer Software	"Solving the quantity of lead problem, still needs work on the quality. Realized that you can get an understanding of a customer by knowing that they may be in a cycle. I like that you can get companies that are relevant in your industry and may be in the research process."	It seemed like every time I would reach out they have just purchased or in the last steps of a sales cycle.	
6sense		Computer Software	"We are solving for data hygiene across our databases for accounts, leads and contacts. ZenIQ has enabled L2X orchestration with owner intimation, account scoring, the ability to manage multiple target lists and implementation of ABM performance reporting. Combines internal & external data for best account and contact intel If you see ABM as more than the next silo of data and activity, you need to check out ZenIQ.io. These guys really get the marketing ops and multi-channel reality of todays' B2B environment."	It would be helpful to have out of box reports	
6sense		Information Technology and Services	"The predictions are accurate and easy to use.  Helping to generate leads and find good prospects to reach out to their key decision makers. The robust ABM solution, for predicting in-market buyers, as well as finding look-alikes, and executing across media with the 6sense display tool, and sending insights to sales. A huge benefit and milestone for Cisco."	Nothing. The team is small but acts really quick and gives the best to the customers.	
6sense		Computer Software	None. During my time working with 6sense I didn't have any more success with their leads than I did with others. As a business development rep it was nice to have a ton of leads in your que but why are they there? I would have preferred to understand how they pull these leads in and what are they doing that makes a potential customer in a buying cycle.	Some of the leads that came in had little to no information about the customer. How did this happen? If the system can't pull basic information how can you expect it to tell if a company is in a buying cycle.	
6sense			"Web analytics, prioritization of leads based on online and offline data sources The integrity and honest of the 6Sense staff, the quality of the product, and most importantly, the extraordinary results achieved. This is industry leading technology providing competitive advantage."	"It's a small startup, I expect it to grow to larger size. Being small now, they try harder."	
