Job_title	Segment	Date of Review	What do you like best	What do you dislike	What problems is Demandbase One solving
Corporate Sales Development	Enterprise (> 1000 emp.)	8/1/2025	Strengths:	Technical Frustrations:	Having accurate information on prospects to make sure I'm speaking to the correct person.
Business Development Representative	Mid-Market (51-1000 emp.)	8/1/2025	"The 6QA system is very innovate, allowing insights into prospect activities that are re;evant to you. In addition, the integration into SalesForce is a good tool as well, I actually use this tool quite often! 6Sense is fairly well rounded when it comes to the different abilities it has."	"When the 6QA's come in, the fact that it's so broad, the amount of research required to get remotely close to the bottom of who was doing  the actual activity or searched up those keywords, just to end up at the wrong person, is unsettling to say the least lol Too much time required for little reward. And then the accuracy of the SF tool could be much more precise. Additionally, the website could be far easier to use. It's not very user friendly at the moment."	6Sense solves the manual research required for prospecting individuals and it benefits me greatly by cutting down the prospecting time as a whole.
Account Development Executive	Enterprise (> 1000 emp.)	7/30/2025	"What I appreciate most is 6sense ability to automatically bring up accounts in the buying phase, even those that we wouldn't have targeted manually. The interface is clear, the alerts are relevant, and it gives a real boost to the ABM strategy. It saves precious time in identifying active accounts, enabling intelligent prioritization and a higher conversion rate."	"The wealth of data can sometimes be a little dense at first: it takes a little time to get used to all the features. More customization of certain alerts would be useful, notably to avoid duplicates or further refine relevance. Nothing blocking, but a few UX improvements would make the experience even smoother."	"6sense helps us identify accounts that are really in the active research phase, enabling us to concentrate our prospecting efforts on the right targets at the right time. This drastically reduces the time spent on manual qualification, and improves the relevance of campaigns. This translates into better conversions and a much more strategic approach on the sales side."
Sales development representative	Enterprise (> 1000 emp.)	7/29/2025	"It has most numbers for the prospects i go after. It also flags in‑market intent so I know who to call first. The integrations with our CRM and sequencing tools let me push accounts into cadences quickly. Direct dials are accurate more often than not, though there are gaps for smaller or newer companies. Overall, it cuts my research time and noticeably improves connect and meeting rates."	"That said, in my segment the info was outdated more often than not. I frequently hit stale titles, departed contacts, or reassigned direct dials—especially at fast‑growing companies. Even intent signals sometimes lagged, so “in‑market” accounts had cooled by the time I reached out. I found myself cross‑checking in LinkedIn and Apollo, which slowed me down; clearer “last‑verified” dates and faster refresh cycles would help."	"It is solving giving me the prospect information this is crucial in my SDR role, as i need to contact by email and phone number these prospects"
Associate Account Executive	Mid-Market (51-1000 emp.)	7/29/2025	"What I like best about 6sense Sales Intelligence is its ability to provide deep, data-driven insights that help identify the right buyers at the right time. The platform’s AI-powered predictive analytics and intent data allow sales teams to prioritize accounts with high buying intent, personalize outreach effectively, and ultimately shorten the sales cycle. It’s a powerful tool for improving targeting and increasing conversion rates."	"One potential downside of 6sense Sales Intelligence is that the platform can have a steep learning curve for new users due to its rich features and data complexity. Also, sometimes the volume of data and alerts can feel overwhelming, requiring teams to fine-tune settings to avoid noise and focus on the most relevant insights. However, with proper onboarding and customization, these challenges can be managed effectively."	"6sense Sales Intelligence solves the problem of identifying and prioritizing high-potential prospects by leveraging AI-driven predictive analytics and intent data. This helps sales teams focus their efforts on accounts that are actively in-market, reducing wasted time on low-priority leads. For me, this means more efficient outreach, better alignment with buyer needs, and ultimately higher conversion rates and faster sales cycles."
Outboud Business Development Representative	Enterprise (> 1000 emp.)	7/29/2025	"6Sense gives clear visibility into which accounts are actively researching our solution, making it easier to prioritize outreach and personalize messaging. The intent data and buying stage insights are incredibly helpful for knowing when to engage and what to say. It’s been a game changer for targeting the right people at the right time."	"While the intent data is valuable, it can sometimes be difficult to validate the accuracy or understand the full context behind certain signals. The platform also has a bit of a learning curve at first especially when it comes to customizing filters and interpreting buyer stage data across different segments. A bit more clarity or training resources around those areas would be helpful."	"6sense helps solve the challenge of identifying which accounts are actually in-market and ready to engage. Instead of cold outreach, I can prioritize high-intent accounts, tailor my messaging based on their behavior, and time my outreach when they’re most likely to respond."
	Enterprise (> 1000 emp.)	7/29/2025	The ability to see what organization has been looking at certain items based on the key words has allowed me to narrow down whom within an organization I am searching for. Having the key titles and personas available in one spot is also a time saver.	I have not found really anything that I dislike about the intelligence of the system at this time.	I have been spending less time researching as I have the ability to see what key words are being searched which allows me to target certain groups/departments and the ability to have the personas in one spot to look at is also a huge time saver. Having lists already set up for the territories I cover and being able to log in every day with an update is very helpful.
	Enterprise (> 1000 emp.)	7/29/2025	"It's a very solid product that mixes contact acquisition and intent signals. The business development role is hard already so getting any possible edge over other competitors. The data is quite accurate but I haven't found a tool that has 85% accuracy or greater. 6Sense has now, in my opinion, edged out ZoomInfo and Lusha."	"Like other contact acquisition tools, you cannot trust the data completely. I have had to supplement 6Sense by manual prospecting with LinkedIn. It's also frustrating that we cannot track intent down to the specific contact, but I understand from a data privacy perspective."	"Ultimately, I've been using 6Sense as a contact acquisition tool. However, the intent signals have been very impactful in ensuring that I am not ""spraying and praying"" but rather creating targeted lists and sending contacts hyper relevant messaging."
	Enterprise (> 1000 emp.)	7/29/2025	"I really like that it shares where the person who went on the website lives so you can find the person based on their location to reach out. I also appreciate the keywords searched and the personal information (phone #, email) you can see. I check it every day and appreciate the hot new accounts."	"I find that a majority of the accounts listed as hot are existing customers. As someone who only deals with net new accounts, I would love to be able to see an accurate list of only non-customers. It makes sense a current customer would be looking up info on our company, I just want to be able to see prospects. I think if it integrated better with our salesforce instance, I would be far more inclined to recommend it to someone. It's full of duplicate records and existing customers."	"It's solving the problem of not being able to tell if a company is actually interested or not. This shows which accounts are actually looking up relevant keywords, which people I should reach out to, and what they're looking at. In that regard, it's very helpful. It also sometimes provides more accurate phone numbers than the other services my company uses and I find that the phone numbers are especially accurate and helpful."
	Enterprise (> 1000 emp.)	7/30/2025	I like that 6sense provides strong intent data and visibility into where accounts are in the buying journey. The platform’s ability to show which companies are actively researching relevant topics can help prioritize outreach.	"I find the contact data coverage and accuracy to be more limited compared to other tools like ZoomInfo. The user interface can feel less intuitive, which makes it harder to find the right contacts or insights quickly. The platform can sometimes feel overly complex for basic prospecting needs, requiring more clicks to get to actionable information."	"6sense helps identify which accounts are actively showing buying intent, which allows me to focus my time on prospects who are more likely to engage. It also gives insight into where accounts are in the buyer’s journey, helping me tailor my outreach more effectively. This prioritization can be useful for driving higher-quality conversations and improving overall pipeline efficiency."
